Names	experiment Cy3	experiment Cy5
GSM1107970_8566_raw.txt.gz	ref	ygr122w
GSM1107971_456_raw.txt.gz	yhl010c	ref
GSM1107972_463_raw.txt.gz	ref	yhl010c
GSM1107973_10415_raw.txt.gz	yhr003c	ref
GSM636453_5703_raw.txt.gz	ref	ioc2
GSM636434_4698_raw.txt.gz	hst1	ref
GSM636435_4703_raw.txt.gz	ref	hst1
GSM636436_8780_raw.txt.gz	htl1	ref
GSM636437_9277_raw.txt.gz	ref	htl1
GSM636430_6885_raw.txt.gz	hos4	ref
GSM636431_7856_raw.txt.gz	ref	hos4
GSM636432_9279_raw.txt.gz	hpc2	ref
GSM636433_6924_raw.txt.gz	ref	hpc2
GSM636438_5389_raw.txt.gz	htz1	ref
GSM636439_5395_raw.txt.gz	ref	htz1
GSM819663_4047_raw.txt.gz	ref	tsl1
GSM636455_5512_raw.txt.gz	ref	ioc3
GSM1107751_408_raw.txt.gz	ref	slx8
GSM1106438_3235_raw.txt.gz	ref	idp3
GSM1106439_6722_raw.txt.gz	ref	ime1
GSM1106436_8316_raw.txt.gz	idp2	ref
GSM1106437_3229_raw.txt.gz	idp3	ref
GSM1106434_3434_raw.txt.gz	hul5	ref
GSM1106435_3440_raw.txt.gz	ref	hul5
GSM1106432_3182_raw.txt.gz	hul4	ref
GSM1106433_3188_raw.txt.gz	ref	hul4
GSM1106430_3961_raw.txt.gz	ref	hub1
GSM1106431_8132_raw.txt.gz	hug1	ref
GSM1107752_9263_raw.txt.gz	slx9	ref
GSM819523_2764_raw.txt.gz	ref	erf2
GSM819522_2759_raw.txt.gz	erf2	ref
GSM1106380_6177_raw.txt.gz	grx3	ref
GSM1106381_6188_raw.txt.gz	ref	grx3
GSM1106382_6178_raw.txt.gz	grx4	ref
GSM1106383_6189_raw.txt.gz	ref	grx4
GSM1106384_6621_raw.txt.gz	gsm1	ref
GSM1106385_8168_raw.txt.gz	ref	gsp2
GSM1106386_3978_raw.txt.gz	gts1	ref
GSM1106387_3984_raw.txt.gz	ref	gts1
GSM1106388_9475_raw.txt.gz	haa1	ref
GSM1106389_6649_raw.txt.gz	ref	haa1
GSM630521.txt.gz	ygl059w	ref
GSM1106542_7867_raw.txt.gz	ref	mpt5
GSM1106543_5194_raw.txt.gz	mrh1	ref
GSM1106540_4671_raw.txt.gz	ref	mpp6
GSM1106541_8610_raw.txt.gz	mpt5	ref
GSM1106546_6714_raw.txt.gz	msc6	ref
GSM1106547_7958_raw.txt.gz	ref	msc6
GSM1106544_5202_raw.txt.gz	ref	mrh1
GSM1106545_7363_raw.txt.gz	ref	msc3
GSM1106894_4369_raw.txt.gz	ref	ubp2
GSM1106895_4366_raw.txt.gz	ubp5	ref
GSM1106896_4371_raw.txt.gz	ref	ubp5
GSM630523.txt.gz	ygr203w	ref
GSM1106890_4381_raw.txt.gz	ref	ubp11
GSM1106891_3435_raw.txt.gz	ubp12	ref
GSM1106892_3441_raw.txt.gz	ref	ubp12
GSM1106893_4364_raw.txt.gz	ubp2	ref
GSM1106948_7133_raw.txt.gz	ref	ybl055c
GSM1106949_7005_raw.txt.gz	ybr030w	ref
GSM1106946_8361_raw.txt.gz	ybl010c	ref
GSM1106947_8134_raw.txt.gz	ybl028c	ref
GSM1106944_10227_raw.txt.gz	ref	yap7
GSM1106945_6460_raw.txt.gz	yat1	ref
GSM1106942_7881_raw.txt.gz	ref	yap6
GSM1106943_6295_raw.txt.gz	yap7	ref
GSM1106940_6117_raw.txt.gz	ref	yap5
GSM1106941_6696_raw.txt.gz	yap6	ref
GSM1106766_8340_raw.txt.gz	ref	sef1
GSM1106767_7898_raw.txt.gz	set6	ref
GSM1106764_2492_raw.txt.gz	ref	sap4
GSM1106765_6982_raw.txt.gz	sef1	ref
GSM1106762_491_raw.txt.gz	ref	sap185
GSM1106763_2498_raw.txt.gz	sap4	ref
GSM1106760_2637_raw.txt.gz	ref	saf1
GSM1106761_485_raw.txt.gz	sap185	ref
GSM1106768_6564_raw.txt.gz	set7	ref
GSM1106769_5508_raw.txt.gz	sfb2	ref
GSM819624_3134_raw.txt.gz	rgt2	ref
GSM819625_3135_raw.txt.gz	ref	rgt2
GSM819620_3049_raw.txt.gz	rgs2	ref
GSM819621_3160_raw.txt.gz	ref	rgs2
GSM819622_1368_raw.txt.gz	rgt1	ref
GSM819623_3144_raw.txt.gz	ref	rgt1
GSM819628_3096_raw.txt.gz	sdc25	ref
GSM819629_3097_raw.txt.gz	ref	sdc25
GSM630173.txt.gz	kin3	ref
GSM630172.txt.gz	ref	kin2
GSM630171.txt.gz	kin2	ref
GSM630170.txt.gz	ref	kin1
GSM630177.txt.gz	kin82	ref
GSM630176.txt.gz	ref	kin4
GSM630175.txt.gz	kin4	ref
GSM630174.txt.gz	ref	kin3
GSM630179.txt.gz	kkq8	ref
GSM630178.txt.gz	ref	kin82
GSM1106168_9711_raw.txt.gz	ref	atg20
GSM1106169_9676_raw.txt.gz	atg27	ref
GSM1106160_9669_raw.txt.gz	atg16	ref
GSM1106161_9681_raw.txt.gz	ref	atg16
GSM1106162_11267_raw.txt.gz	atg17	ref
GSM1106163_11273_raw.txt.gz	ref	atg17
GSM1106164_9670_raw.txt.gz	atg19	ref
GSM1106165_9682_raw.txt.gz	ref	atg19
GSM1106166_10093_raw.txt.gz	ref	atg2
GSM1106167_9699_raw.txt.gz	atg20	ref
GSM1106551_8484_raw.txt.gz	ref	msh6
GSM1106368_4877_raw.txt.gz	ref	gfd1
GSM1106369_3931_raw.txt.gz	gga1	ref
GSM1106882_301_raw.txt.gz	ref	ubc11
GSM1106362_7376_raw.txt.gz	gcn1	ref
GSM1106363_10358_raw.txt.gz	gcn2	ref
GSM1106360_5510_raw.txt.gz	gbp2	ref
GSM1106361_5515_raw.txt.gz	ref	gbp2
GSM1106366_8372_raw.txt.gz	ref	gea1
GSM1106367_4883_raw.txt.gz	gfd1	ref
GSM1106364_10370_raw.txt.gz	ref	gcn2
GSM1106365_6851_raw.txt.gz	ref	gcn20
GSM1106552_8231_raw.txt.gz	ref	msl1
GSM1106555_3917_raw.txt.gz	mss11	ref
GSM630296.txt.gz	ref	rim15
GSM1106554_6121_raw.txt.gz	ref	msn1
GSM1107141_8204_raw.txt.gz	brr1	ref
GSM1107140_3047_raw.txt.gz	ref	bro1
GSM1107143_5127_raw.txt.gz	bud13	ref
GSM1107142_8632_raw.txt.gz	ref	brr1
GSM1107145_7465_raw.txt.gz	bud20	ref
GSM1106557_5591_raw.txt.gz	mvb12	ref
GSM1107147_5557_raw.txt.gz	bud21	ref
GSM1107146_8285_raw.txt.gz	ref	bud20
GSM1107149_6548_raw.txt.gz	bud22	ref
GSM1107148_5563_raw.txt.gz	ref	bud21
GSM1106556_3923_raw.txt.gz	ref	mss11
GSM1107419_7683_raw.txt.gz	mbp1	ref
GSM1107418_8162_raw.txt.gz	ref	mak31
GSM630515.txt.gz	yck3	ref
GSM630514.txt.gz	ref	yck2
GSM630517.txt.gz	ydl025c	ref
GSM819573_1580_raw.txt.gz	ref	maf1
GSM819574_5706_raw.txt.gz	maf1	ref
GSM630513.txt.gz	yck2	ref
GSM630512.txt.gz	ref	yck1
GSM630519.txt.gz	ygk3	ref
GSM630518.txt.gz	ref	ydl025c
GSM1107986_6253_raw.txt.gz	ylr278c	ref
GSM636613_9540_raw.txt.gz	swc3	ref
GSM1107709_9194_raw.txt.gz	ref	sam1
GSM1107708_9183_raw.txt.gz	sam1	ref
GSM1107703_9044_raw.txt.gz	sac1	ref
GSM1107702_7317_raw.txt.gz	rtt107	ref
GSM1107701_6194_raw.txt.gz	ref	rtt107
GSM1107700_5701_raw.txt.gz	ref	rtt103
GSM1107707_7014_raw.txt.gz	sae2	ref
GSM1107706_5120_raw.txt.gz	ref	sac3
GSM1107705_5117_raw.txt.gz	sac3	ref
GSM1107704_9293_raw.txt.gz	ref	sac1
GSM630358.txt.gz	ref	vps15
GSM636378_6713_raw.txt.gz	dep1	ref
GSM819597_1277_raw.txt.gz	pde2	ref
GSM630353.txt.gz	twf1	ref
GSM630352.txt.gz	ref	tpk3
GSM630351.txt.gz	tpk3	ref
GSM630357.txt.gz	vps15	ref
GSM630356.txt.gz	ref	vhs1
GSM630355.txt.gz	vhs1	ref
GSM630354.txt.gz	ref	twf1
GSM630199.txt.gz	mih1	ref
GSM630198.txt.gz	ref	mek1
GSM630191.txt.gz	lcb5	ref
GSM630190.txt.gz	ref	lcb4
GSM630193.txt.gz	ltp1	ref
GSM630192.txt.gz	ref	lcb5
GSM630195.txt.gz	ref	mck1
GSM630194.txt.gz	ref	ltp1
GSM630197.txt.gz	mek1	ref
GSM630196.txt.gz	mck1	ref
GSM1107387_7378_raw.txt.gz	kar3	ref
GSM1107386_5677_raw.txt.gz	ref	kap123
GSM1107385_5671_raw.txt.gz	kap123	ref
GSM1107384_4968_raw.txt.gz	ref	kap122
GSM1107383_4962_raw.txt.gz	kap122	ref
GSM1107382_8102_raw.txt.gz	ref	kap120
GSM1107381_8068_raw.txt.gz	kap120	ref
GSM1107380_7917_raw.txt.gz	ref	jnm1
GSM1107389_8792_raw.txt.gz	kem1	ref
GSM1107388_8282_raw.txt.gz	ref	kar3
GSM1107750_403_raw.txt.gz	slx8	ref
GSM1107653_7931_raw.txt.gz	rmi1	ref
GSM1107569_7450_raw.txt.gz	pif1	ref
GSM1107568_7720_raw.txt.gz	ref	pib2
GSM1107567_6605_raw.txt.gz	pib2	ref
GSM1107566_2935_raw.txt.gz	ref	pho80
GSM1107565_2936_raw.txt.gz	pho80	ref
GSM1107564_9003_raw.txt.gz	ref	pho13
GSM1107563_8300_raw.txt.gz	pho13	ref
GSM1107562_1079_raw.txt.gz	ref	pex5
GSM1107561_1073_raw.txt.gz	pex5	ref
GSM1107560_300_raw.txt.gz	ref	pex4
GSM1107369_9702_raw.txt.gz	irs4	ref
GSM1107368_7134_raw.txt.gz	ref	irc3
GSM1107753_9270_raw.txt.gz	ref	slx9
GSM1107361_6556_raw.txt.gz	inp52	ref
GSM1107360_6120_raw.txt.gz	ref	ino4
GSM1107363_8201_raw.txt.gz	ipk1	ref
GSM1107362_6467_raw.txt.gz	ref	inp52
GSM1107365_3384_raw.txt.gz	irc25	ref
GSM1107364_8630_raw.txt.gz	ref	ipk1
GSM1107367_7833_raw.txt.gz	irc3	ref
GSM1107366_3395_raw.txt.gz	ref	irc25
GSM1106901_3039_raw.txt.gz	ubs1	ref
GSM1107756_3941_raw.txt.gz	snf7	ref
GSM630229.txt.gz	pph21	ref
GSM630228.txt.gz	ref	ppg1
GSM630227.txt.gz	ppg1	ref
GSM630226.txt.gz	ref	pkh3
GSM630225.txt.gz	pkh3	ref
GSM630224.txt.gz	ref	pkh1
GSM630223.txt.gz	pkh1	ref
GSM630222.txt.gz	ref	pho85
GSM630221.txt.gz	pho85	ref
GSM630220.txt.gz	ref	pbs2
GSM1107963_4154_raw.txt.gz	ydr306c	ref
GSM1107962_11618_raw.txt.gz	ref	ydr266c
GSM1107961_11606_raw.txt.gz	ydr266c	ref
GSM1107960_8550_raw.txt.gz	ybr285w	ref
GSM1107967_1772_raw.txt.gz	ygr071c	ref
GSM1107966_8631_raw.txt.gz	ref	yer064c
GSM1107965_8203_raw.txt.gz	yer064c	ref
GSM1107964_4160_raw.txt.gz	ref	ydr306c
GSM1107969_9478_raw.txt.gz	ygr122w	ref
GSM1107861_7295_raw.txt.gz	uba3	ref
GSM1107796_8543_raw.txt.gz	stp1	ref
GSM636601_3115_raw.txt.gz	ref	spt3
GSM636600_3114_raw.txt.gz	spt3	ref
GSM1106429_3955_raw.txt.gz	hub1	ref
GSM1106428_6561_raw.txt.gz	htb2	ref
GSM1106425_7557_raw.txt.gz	ref	hst4
GSM1106424_7551_raw.txt.gz	hst4	ref
GSM1106427_5397_raw.txt.gz	ref	hta2
GSM1106426_5391_raw.txt.gz	hta2	ref
GSM1106421_8963_raw.txt.gz	hst2	ref
GSM1106420_7371_raw.txt.gz	ref	hst2
GSM1106423_8627_raw.txt.gz	ref	hst3
GSM1106422_6970_raw.txt.gz	hst3	ref
GSM636359_5418_raw.txt.gz	caf16	ref
GSM636358_2323_raw.txt.gz	ref	caf130
GSM636355_7704_raw.txt.gz	cac2	ref
GSM636354_7719_raw.txt.gz	ref	cac1
GSM636357_2317_raw.txt.gz	caf130	ref
GSM636356_6610_raw.txt.gz	ref	cac2
GSM636351_8257_raw.txt.gz	bur2	ref
GSM636350_8358_raw.txt.gz	ref	btt1
GSM636353_6604_raw.txt.gz	cac1	ref
GSM636352_9032_raw.txt.gz	ref	bur2
GSM636599_2734_raw.txt.gz	ref	spt20
GSM636598_2729_raw.txt.gz	spt20	ref
GSM636593_7824_raw.txt.gz	ref	snf6
GSM636592_7250_raw.txt.gz	snf6	ref
GSM636591_7723_raw.txt.gz	ref	snf5
GSM636590_6616_raw.txt.gz	snf5	ref
GSM636597_2856_raw.txt.gz	ref	spp1
GSM636596_2855_raw.txt.gz	spp1	ref
GSM1106397_8103_raw.txt.gz	ref	hmg1
GSM1106396_8228_raw.txt.gz	ref	hht2
GSM1106395_7961_raw.txt.gz	hho1	ref
GSM1106394_8062_raw.txt.gz	ref	hcs1
GSM1106393_6612_raw.txt.gz	ref	hcm1
GSM1106392_7705_raw.txt.gz	hcm1	ref
GSM1106391_8883_raw.txt.gz	ref	ham1
GSM1106390_6710_raw.txt.gz	ref	hac1
GSM1106399_7320_raw.txt.gz	ref	hms1
GSM1106398_6300_raw.txt.gz	ref	hms1
GSM1106883_297_raw.txt.gz	ubc12	ref
