Names	experiment Cy3	experiment Cy5
GSE42215/GSM1035505_4000_raw.txt.gz	wt	ref
GSE42215/GSM1035504_3994_raw.txt.gz	ref	wt
GSE42215/GSM1035503_3980_raw.txt.gz	ref	wt
GSE42215/GSM1035502_3962_raw.txt.gz	wt	ref
GSE42215/GSM1035501_3944_raw.txt.gz	ref	wt
GSE42215/GSM1035500_3422_raw.txt.gz	ref	wt
GSE42215/GSM630465.txt.gz	wt	ref
GSE42215/GSM630467.txt.gz	wt	ref
GSE42215/GSM1035468_3231_raw.txt.gz	ref	wt
GSE42215/GSM1035469_1307_raw.txt.gz	ref	wt
GSE42215/GSM630391.txt.gz	wt	ref
GSE42215/GSM630462.txt.gz	ref	wt
GSE42215/GSM1035464_1180_raw.txt.gz	ref	wt
GSE42215/GSM1035465_4142_raw.txt.gz	ref	wt
GSE42215/GSM1035466_4696_raw.txt.gz	wt	ref
GSE42215/GSM1035467_4534_raw.txt.gz	wt	ref
GSE42215/GSM1035461_5862_raw.txt.gz	wt	ref
GSE42215/GSM1035462_1191_raw.txt.gz	ref	wt
GSE42215/GSM1035463_1071_raw.txt.gz	wt	ref
GSE42215/GSM1035590_4177_raw.txt.gz	wt	ref
GSE42215/GSM630495.txt.gz	wt	ref
GSE42215/GSM630496.txt.gz	ref	wt
GSE42215/GSM819683_1315_raw.txt.gz	ref	wt
GSE42217/GSM1035774_7895_raw.txt.gz	wt	ref
GSE42217/GSM1035775_7901_raw.txt.gz	ref	wt
GSE42217/GSM1035776_7903_raw.txt.gz	ref	wt
GSE42217/GSM1035777_8064_raw.txt.gz	wt	ref
GSE42217/GSM1035770_7889_raw.txt.gz	wt	ref
GSE42217/GSM1035771_7883_raw.txt.gz	ref	wt
GSE42217/GSM1035772_7869_raw.txt.gz	wt	ref
GSE42217/GSM1035773_7875_raw.txt.gz	ref	wt
GSE42217/GSM1035778_8098_raw.txt.gz	ref	wt
GSE42217/GSM1035779_8072_raw.txt.gz	wt	ref
GSE42217/GSM1035769_8332_raw.txt.gz	ref	wt
GSE42217/GSM819738_6288_raw.txt.gz	ref	wt
GSE42217/GSM1035768_8329_raw.txt.gz	wt	ref
GSE42217/GSM1035668_6929_raw.txt.gz	wt	ref
GSE42217/GSM1035669_6935_raw.txt.gz	ref	wt
GSE42217/GSM1035666_6941_raw.txt.gz	wt	ref
GSE42217/GSM1035667_6963_raw.txt.gz	ref	wt
GSE42217/GSM1035664_7572_raw.txt.gz	wt	ref
GSE42217/GSM1035665_7576_raw.txt.gz	ref	wt
GSE42217/GSM1035662_6617_raw.txt.gz	wt	ref
GSE42217/GSM1035663_6624_raw.txt.gz	ref	wt
GSE42217/GSM1035660_6611_raw.txt.gz	ref	wt
GSE42217/GSM1035661_6613_raw.txt.gz	ref	wt
GSE42217/GSM819739_6139_raw.txt.gz	wt	ref
GSE42217/GSM1035711_6468_raw.txt.gz	ref	wt
GSE42217/GSM1035763_8379_raw.txt.gz	wt	ref
GSE42217/GSM1035762_7948_raw.txt.gz	ref	wt
GSE42217/GSM1035679_6699_raw.txt.gz	ref	wt
GSE42217/GSM1035678_6688_raw.txt.gz	wt	ref
GSE42217/GSM819747_7469_raw.txt.gz	ref	wt
GSE42217/GSM1035675_6636_raw.txt.gz	ref	wt
GSE42217/GSM1035674_6631_raw.txt.gz	wt	ref
GSE42217/GSM1035677_6668_raw.txt.gz	ref	wt
GSE42217/GSM1035676_6662_raw.txt.gz	wt	ref
GSE42217/GSM1035671_7599_raw.txt.gz	ref	wt
GSE42217/GSM1035670_7593_raw.txt.gz	wt	ref
GSE42217/GSM1035673_7587_raw.txt.gz	ref	wt
GSE42217/GSM1035672_7581_raw.txt.gz	wt	ref
GSE42217/GSM819746_7463_raw.txt.gz	wt	ref
GSE42217/GSM1035790_8713_raw.txt.gz	wt	ref
GSE42217/GSM1035791_8691_raw.txt.gz	ref	wt
GSE42217/GSM1035744_7664_raw.txt.gz	ref	wt
GSE42217/GSM1035640_9117_raw.txt.gz	wt	ref
GSE42217/GSM1035641_9158_raw.txt.gz	wt	ref
GSE42217/GSM1035642_6715_raw.txt.gz	wt	ref
GSE42217/GSM1035643_6721_raw.txt.gz	ref	wt
GSE42217/GSM1035644_6725_raw.txt.gz	ref	wt
GSE42217/GSM1035645_9175_raw.txt.gz	wt	ref
GSE42217/GSM1035646_9186_raw.txt.gz	ref	wt
GSE42217/GSM1035647_9219_raw.txt.gz	wt	ref
GSE42217/GSM1035648_9241_raw.txt.gz	wt	ref
GSE42217/GSM1035649_9261_raw.txt.gz	wt	ref
GSE42217/GSM1035761_7942_raw.txt.gz	wt	ref
GSE42217/GSM1035760_8342_raw.txt.gz	ref	wt
GSE42217/GSM1035767_7861_raw.txt.gz	wt	ref
GSE42217/GSM1035766_8365_raw.txt.gz	ref	wt
GSE42217/GSM1035765_8368_raw.txt.gz	wt	ref
GSE42217/GSM1035764_8378_raw.txt.gz	ref	wt
GSE42217/GSM1035622_6709_raw.txt.gz	ref	wt
GSE42217/GSM1035623_6103_raw.txt.gz	wt	ref
GSE42217/GSM1035620_6705_raw.txt.gz	ref	wt
GSE42217/GSM1035621_6694_raw.txt.gz	wt	ref
GSE42217/GSM1035626_8591_raw.txt.gz	ref	wt
GSE42217/GSM1035627_8778_raw.txt.gz	wt	ref
GSE42217/GSM1035624_6112_raw.txt.gz	ref	wt
GSE42217/GSM1035625_8586_raw.txt.gz	wt	ref
GSE42217/GSM1035628_8548_raw.txt.gz	wt	ref
GSE42217/GSM1035629_8577_raw.txt.gz	ref	wt
GSE42217/GSM1035785_8693_raw.txt.gz	wt	ref
GSE42217/GSM1035784_8678_raw.txt.gz	ref	wt
GSE42217/GSM1035787_8700_raw.txt.gz	wt	ref
GSE42217/GSM1035786_8670_raw.txt.gz	ref	wt
GSE42217/GSM1035781_8519_raw.txt.gz	ref	wt
GSE42217/GSM1035780_8106_raw.txt.gz	ref	wt
GSE42217/GSM1035783_8563_raw.txt.gz	ref	wt
GSE42217/GSM1035782_8532_raw.txt.gz	wt	ref
GSE42217/GSM1035789_8680_raw.txt.gz	ref	wt
GSE42217/GSM1035788_8702_raw.txt.gz	wt	ref
GSE42217/GSM1035657_6186_raw.txt.gz	ref	wt
GSE42217/GSM1035656_6175_raw.txt.gz	wt	ref
GSE42217/GSM1035655_6652_raw.txt.gz	ref	wt
GSE42217/GSM1035654_6657_raw.txt.gz	wt	ref
GSE42217/GSM1035653_6640_raw.txt.gz	wt	ref
GSE42217/GSM1035652_6749_raw.txt.gz	wt	ref
GSE42217/GSM1035651_6739_raw.txt.gz	ref	wt
GSE42217/GSM1035650_6732_raw.txt.gz	wt	ref
GSE42217/GSM1035716_7102_raw.txt.gz	wt	ref
GSE42217/GSM1035717_7107_raw.txt.gz	ref	wt
GSE42217/GSM1035714_7090_raw.txt.gz	wt	ref
GSE42217/GSM1035715_7096_raw.txt.gz	ref	wt
GSE42217/GSM1035712_7078_raw.txt.gz	wt	ref
GSE42217/GSM1035713_7084_raw.txt.gz	ref	wt
GSE42217/GSM1035659_6608_raw.txt.gz	wt	ref
GSE42217/GSM1035658_6979_raw.txt.gz	wt	ref
GSE42217/GSM1035631_8888_raw.txt.gz	ref	wt
GSE42217/GSM1035630_8784_raw.txt.gz	wt	ref
GSE42217/GSM1035633_8894_raw.txt.gz	ref	wt
GSE42217/GSM1035632_8790_raw.txt.gz	wt	ref
GSE42217/GSM1035635_9043_raw.txt.gz	wt	ref
GSE42217/GSM1035634_9019_raw.txt.gz	ref	wt
GSE42217/GSM1035637_9024_raw.txt.gz	ref	wt
GSE42217/GSM1035636_9049_raw.txt.gz	wt	ref
GSE42217/GSM1035639_9034_raw.txt.gz	ref	wt
GSE42217/GSM1035638_9058_raw.txt.gz	wt	ref
GSE42217/GSM819737_6278_raw.txt.gz	wt	ref
GSE42217/GSM819740_6151_raw.txt.gz	ref	wt
GSE42217/GSM1035709_6462_raw.txt.gz	ref	wt
GSE42217/GSM1035708_6451_raw.txt.gz	wt	ref
GSE42217/GSM819745_6973_raw.txt.gz	ref	wt
GSE42217/GSM1035705_6437_raw.txt.gz	ref	wt
GSE42217/GSM1035704_6433_raw.txt.gz	wt	ref
GSE42217/GSM1035707_6447_raw.txt.gz	ref	wt
GSE42217/GSM1035706_6442_raw.txt.gz	wt	ref
GSE42217/GSM1035701_6889_raw.txt.gz	ref	wt
GSE42217/GSM1035700_6879_raw.txt.gz	wt	ref
GSE42217/GSM1035703_7549_raw.txt.gz	wt	ref
GSE42217/GSM1035702_8021_raw.txt.gz	ref	wt
GSE42217/GSM1035604_6297_raw.txt.gz	ref	wt
GSE42217/GSM1035605_6303_raw.txt.gz	wt	ref
GSE42217/GSM1035606_6309_raw.txt.gz	ref	wt
GSE42217/GSM1035607_6320_raw.txt.gz	ref	wt
GSE42217/GSM1035600_6360_raw.txt.gz	ref	wt
GSE42217/GSM1035601_8474_raw.txt.gz	wt	ref
GSE42217/GSM1035602_8476_raw.txt.gz	ref	wt
GSE42217/GSM1035603_6291_raw.txt.gz	wt	ref
GSE42217/GSM1035608_6860_raw.txt.gz	wt	ref
GSE42217/GSM1035609_6646_raw.txt.gz	ref	wt
GSE42217/GSM1035688_7538_raw.txt.gz	wt	ref
GSE42217/GSM1035689_7543_raw.txt.gz	ref	wt
GSE42217/GSM1035684_6737_raw.txt.gz	wt	ref
GSE42217/GSM1035685_6744_raw.txt.gz	ref	wt
GSE42217/GSM1035686_6915_raw.txt.gz	wt	ref
GSE42217/GSM1035687_6920_raw.txt.gz	ref	wt
GSE42217/GSM1035680_6704_raw.txt.gz	ref	wt
GSE42217/GSM1035681_6711_raw.txt.gz	wt	ref
GSE42217/GSM1035682_6727_raw.txt.gz	ref	wt
GSE42217/GSM1035683_6729_raw.txt.gz	ref	wt
GSE42217/GSM1035730_7641_raw.txt.gz	ref	wt
GSE42217/GSM1035731_7332_raw.txt.gz	wt	ref
GSE42217/GSM1035732_7338_raw.txt.gz	ref	wt
GSE42217/GSM1035733_7349_raw.txt.gz	ref	wt
GSE42217/GSM1035734_7303_raw.txt.gz	wt	ref
GSE42217/GSM1035735_7308_raw.txt.gz	ref	wt
GSE42217/GSM1035736_7447_raw.txt.gz	wt	ref
GSE42217/GSM1035737_7457_raw.txt.gz	ref	wt
GSE42217/GSM1035738_7314_raw.txt.gz	wt	ref
GSE42217/GSM1035739_7318_raw.txt.gz	ref	wt
GSE42217/GSM1035752_7637_raw.txt.gz	ref	wt
GSE42217/GSM1035753_7907_raw.txt.gz	wt	ref
GSE42217/GSM1035750_8307_raw.txt.gz	ref	wt
GSE42217/GSM1035751_7632_raw.txt.gz	wt	ref
GSE42217/GSM1035756_7930_raw.txt.gz	wt	ref
GSE42217/GSM1035757_7936_raw.txt.gz	ref	wt
GSE42217/GSM1035754_7918_raw.txt.gz	wt	ref
GSE42217/GSM1035755_7924_raw.txt.gz	ref	wt
GSE42217/GSM1035758_8319_raw.txt.gz	ref	wt
GSE42217/GSM1035759_8344_raw.txt.gz	wt	ref
GSE42217/GSM1035693_7374_raw.txt.gz	wt	ref
GSE42217/GSM1035692_7357_raw.txt.gz	wt	ref
GSE42217/GSM1035691_7362_raw.txt.gz	ref	wt
GSE42217/GSM1035690_7356_raw.txt.gz	wt	ref
GSE42217/GSM1035697_6856_raw.txt.gz	wt	ref
GSE42217/GSM1035696_6566_raw.txt.gz	ref	wt
GSE42217/GSM1035695_6560_raw.txt.gz	wt	ref
GSE42217/GSM1035694_7368_raw.txt.gz	ref	wt
GSE42217/GSM1035699_6874_raw.txt.gz	ref	wt
GSE42217/GSM1035698_6862_raw.txt.gz	ref	wt
GSE42217/GSM1035727_7604_raw.txt.gz	wt	ref
GSE42217/GSM1035726_8057_raw.txt.gz	wt	ref
GSE42217/GSM1035725_8049_raw.txt.gz	ref	wt
GSE42217/GSM1035724_8045_raw.txt.gz	ref	wt
